"Route","RouteFile","Classification","Priority","Basis","Evidence","NextAction"
"/profiles/claim","C:\EAR_OS_V2\src\app\api\profiles\claim\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/profiles/claim","C:\EAR_OS_V2\src\app\api\profiles\claim\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/profiles","C:\EAR_OS_V2\src\app\api\profiles\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/profiles","C:\EAR_OS_V2\src\app\api\profiles\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/profiles/search","C:\EAR_OS_V2\src\app\api\profiles\search\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/profiles/search","C:\EAR_OS_V2\src\app\api\profiles\search\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/rag/query","C:\EAR_OS_V2\src\app\api\rag\query\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/rag/query","C:\EAR_OS_V2\src\app\api\rag\query\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/system/read-file","C:\EAR_OS_V2\src\app\api\system\read-file\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/system/read-file","C:\EAR_OS_V2\src\app\api\system\read-file\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/telemetry/marketplace","C:\EAR_OS_V2\src\app\api\telemetry\marketplace\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L17: if (!event.type || !event.sessionId || !event.payload) { || L24: session_id: event.sessionId,","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/telemetry/marketplace","C:\EAR_OS_V2\src\app\api\telemetry\marketplace\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L24: if (!event.type || !event.sessionId || !event.payload) { || L32: session_id: event.sessionId,","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/test-telegram","C:\EAR_OS_V2\src\app\api\test-telegram\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/test-telegram","C:\EAR_OS_V2\src\app\api\test-telegram\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/tripwire","C:\EAR_OS_V2\src\app\api\tripwire\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L5: const BOT_TOKEN: [REDACTADO]; || L7: if (!BOT_TOKEN || !CHAT_ID) { || L17: const url = `https://api.telegram.org/bot${BOT_TOKEN}/sendMessage`;","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/tripwire","C:\EAR_OS_V2\src\app\api\tripwire\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L7: const BOT_TOKEN: [REDACTADO]; || L10: if (!BOT_TOKEN || !CHAT_ID) { || L21: const url = `https://api.telegram.org/bot${BOT_TOKEN}/sendMessage`;","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/vampire/transmute","C:\EAR_OS_V2\src\app\api\vampire\transmute\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/vampire/transmute","C:\EAR_OS_V2\src\app\api\vampire\transmute\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/webhooks/stripe","C:\EAR_OS_V2\src\app\api\webhooks\stripe\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L30: if (event.type !== ""checkout.session.completed"") { || L33: const session = event.data.object; || L34: const md = session.metadata ?? {}; || L75: stripeSessionId: session.id, || L90: stripeSessionId: session.id, || L131: stripeSessionId: session.id, || L132: notes: `Stripe webhook session ${session.id}`,","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/webhooks/stripe","C:\EAR_OS_V2\src\app\api\webhooks\stripe\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L37: if (event.type !== ""checkout.session.completed"") { || L41: const session = event.data.object as Stripe.Checkout.Session; || L42: const md = session.metadata ?? {}; || L90: stripeSessionId: session.id, || L104: stripeSessionId: session.id, || L149: stripeSessionId: session.id, || L150: notes: `Stripe webhook session ${session.id}`,","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
