"TaskId","Priority","Route","Status","Trigger","NextAction","IfResultIsProtected","IfResultIsNotProtected","IfResultIsUnclear"
"AUTH-P1--fleet-waybills--id-","P1","/fleet/waybills/[id]","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--health","P1","/health","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--health","P1","/health","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--hunter-execute","P1","/hunter/execute","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--hunter-execute","P1","/hunter/execute","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--hunter-phantom","P1","/hunter/phantom","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--hunter-phantom","P1","/hunter/phantom","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--nexus-user-sync","P1","/nexus/user/sync","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--nexus-user-sync","P1","/nexus/user/sync","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--oracle-simulator","P1","/oracle/simulator","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--oracle-simulator","P1","/oracle/simulator","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--profiles-claim","P1","/profiles/claim","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--profiles-claim","P1","/profiles/claim","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--profiles","P1","/profiles","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--profiles","P1","/profiles","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--profiles-search","P1","/profiles/search","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--profiles-search","P1","/profiles/search","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--rag-query","P1","/rag/query","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--rag-query","P1","/rag/query","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--system-read-file","P1","/system/read-file","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--system-read-file","P1","/system/read-file","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--test-telegram","P1","/test-telegram","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--test-telegram","P1","/test-telegram","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--vampire-transmute","P1","/vampire/transmute","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--vampire-transmute","P1","/vampire/transmute","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P2--astra","P2","/astra","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--astra","P2","/astra","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--contracts-generate","P2","/contracts/generate","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--contracts-generate","P2","/contracts/generate","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--cron-obsidian-sync","P2","/cron/obsidian-sync","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--cron-obsidian-sync","P2","/cron/obsidian-sync","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--hunter-ingest","P2","/hunter/ingest","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--hunter-ingest","P2","/hunter/ingest","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--oracle-infer","P2","/oracle/infer","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--oracle-infer","P2","/oracle/infer","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--payments-checkout","P2","/payments/checkout","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--payments-checkout","P2","/payments/checkout","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--payments-create-session","P2","/payments/create-session","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--payments-create-session","P2","/payments/create-session","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--payments-webhook","P2","/payments/webhook","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--telemetry-marketplace","P2","/telemetry/marketplace","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--telemetry-marketplace","P2","/telemetry/marketplace","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--tripwire","P2","/tripwire","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--tripwire","P2","/tripwire","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--webhooks-stripe","P2","/webhooks/stripe","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
"AUTH-P2--webhooks-stripe","P2","/webhooks/stripe","PENDIENTE_VALIDACION_POLITICA","Existe evidencia técnica local de control de acceso.","Validar que la protección coincide con el tipo de dato y rol de negocio.","Marcar VALIDADA.","Crear tarea de corrección aprobada.","Mantener PENDIENTE_VALIDACION_POLITICA."
