ID_COMPONENTE;MODULO;TIPO;NOMBRE_ARCHIVO_O_FUNCION;RUTA_FISICA;ROL_ASOCIADO;COMANDO_INVOCACION;ENTRADA_PARAMETROS;SALIDA_RESULTADO;DESCRIPCION_OPERATIVA_DETALLADA;CRITICIDAD
SCR-031;SCRIPTS_LOCALES;CLI_SCRIPT;audit_vampires.py;scripts/audit_vampires.py;ADMIN_TECNICO;python scripts/audit_vampires.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-032;SCRIPTS_LOCALES;CLI_SCRIPT;auditoria_mapear.py;scripts/auditoria_mapear.py;ADMIN_TECNICO;python scripts/auditoria_mapear.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-033;SCRIPTS_LOCALES;CLI_SCRIPT;auditoria_mapear_fast.py;scripts/auditoria_mapear_fast.py;ADMIN_TECNICO;python scripts/auditoria_mapear_fast.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-034;SCRIPTS_LOCALES;CLI_SCRIPT;b2g_hunter_telegram.ts;scripts/b2g_hunter_telegram.ts;ADMIN_TECNICO;npx ts-node scripts/b2g_hunter_telegram.ts;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-035;SCRIPTS_LOCALES;CLI_SCRIPT;b2g_placsp_bidder.py;scripts/b2g_placsp_bidder.py;ADMIN_TECNICO;python scripts/b2g_placsp_bidder.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-036;SCRIPTS_LOCALES;CLI_SCRIPT;batch_google_indexer.ts;scripts/batch_google_indexer.ts;ADMIN_TECNICO;npx ts-node scripts/batch_google_indexer.ts;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-037;SCRIPTS_LOCALES;CLI_SCRIPT;batch_recycle_vault.py;scripts/batch_recycle_vault.py;ADMIN_TECNICO;python scripts/batch_recycle_vault.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-038;SCRIPTS_LOCALES;CLI_SCRIPT;big_data_purist_archivist.js;scripts/big_data_purist_archivist.js;SISTEMA_ZTM / CEO;node scripts/big_data_purist_archivist.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Motor de archivo físico, delta-indexing SHA-256 y vaciado de discos a la bóveda inmutable.;CRITICAL
SCR-039;SCRIPTS_LOCALES;CLI_SCRIPT;build_catedra_map.js;scripts/build_catedra_map.js;ADMIN_TECNICO;node scripts/build_catedra_map.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-040;SCRIPTS_LOCALES;CLI_SCRIPT;build_exhaustive_owner_manual.py;scripts/build_exhaustive_owner_manual.py;ADMIN_TECNICO;python scripts/build_exhaustive_owner_manual.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-041;SCRIPTS_LOCALES;CLI_SCRIPT;build_page.py;scripts/build_page.py;ADMIN_TECNICO;python scripts/build_page.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-042;SCRIPTS_LOCALES;CLI_SCRIPT;build_servicios_page.py;scripts/build_servicios_page.py;ADMIN_TECNICO;python scripts/build_servicios_page.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-043;SCRIPTS_LOCALES;CLI_SCRIPT;bypass_slug_tsc.py;scripts/bypass_slug_tsc.py;ADMIN_TECNICO;python scripts/bypass_slug_tsc.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-044;SCRIPTS_LOCALES;CLI_SCRIPT;cazador_fantasma.js;scripts/cazador_fantasma.js;ADMIN_TECNICO;node scripts/cazador_fantasma.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-045;SCRIPTS_LOCALES;CLI_SCRIPT;cazador_fantasma.ts;scripts/cazador_fantasma.ts;ADMIN_TECNICO;npx ts-node scripts/cazador_fantasma.ts;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-046;SCRIPTS_LOCALES;CLI_SCRIPT;check-logs.bat;scripts/check-logs.bat;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-047;SCRIPTS_LOCALES;CLI_SCRIPT;classify_displaced_vsts.py;scripts/classify_displaced_vsts.py;ADMIN_TECNICO;python scripts/classify_displaced_vsts.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-048;SCRIPTS_LOCALES;CLI_SCRIPT;clean_and_refine_manifest.js;scripts/clean_and_refine_manifest.js;ADMIN_TECNICO;node scripts/clean_and_refine_manifest.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-049;SCRIPTS_LOCALES;CLI_SCRIPT;clean_watermarks.ts;scripts/clean_watermarks.ts;ADMIN_TECNICO;npx ts-node scripts/clean_watermarks.ts;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-050;SCRIPTS_LOCALES;CLI_SCRIPT;compile_astra_rag_database.py;scripts/compile_astra_rag_database.py;SISTEMA_ZTM / CEO;python scripts/compile_astra_rag_database.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Motor de archivo físico, delta-indexing SHA-256 y vaciado de discos a la bóveda inmutable.;CRITICAL
SCR-051;SCRIPTS_LOCALES;CLI_SCRIPT;config_server.js;scripts/config_server.js;ARTISTA_DJ / ADMIN;node scripts/config_server.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Gestión visual y almacenamiento de datos fiscales de artistas y locales asociados.;HIGH
SCR-052;SCRIPTS_LOCALES;CLI_SCRIPT;consolidate_military_env.py;scripts/consolidate_military_env.py;ADMIN_TECNICO;python scripts/consolidate_military_env.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-053;SCRIPTS_LOCALES;CLI_SCRIPT;credentials.json;scripts/credentials.json;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-054;SCRIPTS_LOCALES;CLI_SCRIPT;deep_audit_all_urls.js;scripts/deep_audit_all_urls.js;ADMIN_TECNICO;node scripts/deep_audit_all_urls.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-055;SCRIPTS_LOCALES;CLI_SCRIPT;deep_clean_providers.py;scripts/deep_clean_providers.py;ADMIN_TECNICO;python scripts/deep_clean_providers.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-056;SCRIPTS_LOCALES;CLI_SCRIPT;deep_discovery_report.json;scripts/deep_discovery_report.json;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-057;SCRIPTS_LOCALES;CLI_SCRIPT;deep_pc_discovery.js;scripts/deep_pc_discovery.js;ADMIN_TECNICO;node scripts/deep_pc_discovery.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-058;SCRIPTS_LOCALES;CLI_SCRIPT;deploy_fincas_landing.js;scripts/deploy_fincas_landing.js;ADMIN_TECNICO;node scripts/deploy_fincas_landing.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-059;SCRIPTS_LOCALES;CLI_SCRIPT;deploy_fincas_national_catalog.js;scripts/deploy_fincas_national_catalog.js;ADMIN_TECNICO;node scripts/deploy_fincas_national_catalog.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-060;SCRIPTS_LOCALES;CLI_SCRIPT;deploy_stateless_2fa_system.py;scripts/deploy_stateless_2fa_system.py;ADMIN_TECNICO;python scripts/deploy_stateless_2fa_system.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-061;SCRIPTS_LOCALES;CLI_SCRIPT;deploy_strict_zero_trust_full.py;scripts/deploy_strict_zero_trust_full.py;ADMIN_TECNICO;python scripts/deploy_strict_zero_trust_full.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-062;SCRIPTS_LOCALES;CLI_SCRIPT;diagnose_html_mismatch.py;scripts/diagnose_html_mismatch.py;ADMIN_TECNICO;python scripts/diagnose_html_mismatch.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-063;SCRIPTS_LOCALES;CLI_SCRIPT;ear_session_watcher.js;scripts/ear_session_watcher.js;ARTISTA_DJ / VENUE;node scripts/ear_session_watcher.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Herramienta de cabina, captura de logs de sesión, extracción M3U/CSV y generación de actas SHA-256.;CRITICAL
SCR-064;SCRIPTS_LOCALES;CLI_SCRIPT;eml_parser.py;scripts/eml_parser.py;ADMIN_TECNICO;python scripts/eml_parser.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-065;SCRIPTS_LOCALES;CLI_SCRIPT;enable_strict_security.py;scripts/enable_strict_security.py;ADMIN_TECNICO;python scripts/enable_strict_security.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-066;SCRIPTS_LOCALES;CLI_SCRIPT;enrich-lighting-images.js;scripts/enrich-lighting-images.js;ADMIN_TECNICO;node scripts/enrich-lighting-images.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-067;SCRIPTS_LOCALES;CLI_SCRIPT;export_conversation_to_md.py;scripts/export_conversation_to_md.py;ADMIN_TECNICO;python scripts/export_conversation_to_md.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-068;SCRIPTS_LOCALES;CLI_SCRIPT;export_neural_knowledge_base.ts;scripts/export_neural_knowledge_base.ts;ADMIN_TECNICO;npx ts-node scripts/export_neural_knowledge_base.ts;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-069;SCRIPTS_LOCALES;CLI_SCRIPT;extract_100_percent_photos.py;scripts/extract_100_percent_photos.py;ADMIN_TECNICO;python scripts/extract_100_percent_photos.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-070;SCRIPTS_LOCALES;CLI_SCRIPT;extract_atomic_from_json_vaults.py;scripts/extract_atomic_from_json_vaults.py;ADMIN_TECNICO;python scripts/extract_atomic_from_json_vaults.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-071;SCRIPTS_LOCALES;CLI_SCRIPT;extract_atomic_html.py;scripts/extract_atomic_html.py;ADMIN_TECNICO;python scripts/extract_atomic_html.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-072;SCRIPTS_LOCALES;CLI_SCRIPT;extract_atomic_html_v2.py;scripts/extract_atomic_html_v2.py;ADMIN_TECNICO;python scripts/extract_atomic_html_v2.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-073;SCRIPTS_LOCALES;CLI_SCRIPT;extract_demetrio_pages.py;scripts/extract_demetrio_pages.py;ADMIN_TECNICO;python scripts/extract_demetrio_pages.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-074;SCRIPTS_LOCALES;CLI_SCRIPT;extract_giants_comparison.py;scripts/extract_giants_comparison.py;ADMIN_TECNICO;python scripts/extract_giants_comparison.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-075;SCRIPTS_LOCALES;CLI_SCRIPT;fetch_trello_lists.ts;scripts/fetch_trello_lists.ts;ADMIN_TECNICO;npx ts-node scripts/fetch_trello_lists.ts;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-076;SCRIPTS_LOCALES;CLI_SCRIPT;filter_category_catalog.py;scripts/filter_category_catalog.py;ADMIN_TECNICO;python scripts/filter_category_catalog.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-077;SCRIPTS_LOCALES;CLI_SCRIPT;find_10_giants.py;scripts/find_10_giants.py;ADMIN_TECNICO;python scripts/find_10_giants.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-078;SCRIPTS_LOCALES;CLI_SCRIPT;find_and_transcribe_missing_media.js;scripts/find_and_transcribe_missing_media.js;ADMIN_TECNICO;node scripts/find_and_transcribe_missing_media.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-079;SCRIPTS_LOCALES;CLI_SCRIPT;find_displaced_vsts.py;scripts/find_displaced_vsts.py;ADMIN_TECNICO;python scripts/find_displaced_vsts.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-080;SCRIPTS_LOCALES;CLI_SCRIPT;fitur_swarm_simulator.ts;scripts/fitur_swarm_simulator.ts;ADMIN_TECNICO;npx ts-node scripts/fitur_swarm_simulator.ts;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-081;SCRIPTS_LOCALES;CLI_SCRIPT;fix_artist_slug_types.py;scripts/fix_artist_slug_types.py;ADMIN_TECNICO;python scripts/fix_artist_slug_types.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-082;SCRIPTS_LOCALES;CLI_SCRIPT;fix_async_params.py;scripts/fix_async_params.py;ADMIN_TECNICO;python scripts/fix_async_params.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
